,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,NonTarget,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9,offset
MKI67,-0.0002539237355582093,-0.0059696749191569375,0.00022342102198514584,0.01876658938022514,0.001587933713621445,-0.008697275532723103,0.08949825942605769,-0.0019344282866080682,-0.0005756255134237416,0.03645892405534291,-0.0021803596381234367,-0.009015691850951755,0.0006031051164740108,0.06365398419841596,-7.362847678441729e-05,0.009022446711646053,0.1491366568656613,-0.008179631927358188,0.004334074220678158,0.004893649571015583,0.02089005308030777,0.24960914197332212
RPL10,0.024188731718193593,0.02141475356187439,0.011836377733738752,-0.042073153510203465,-0.0002901126400501312,0.009098850880902789,-0.12502641773210463,-0.003691495844460651,0.006482715045993014,-0.05174695469120005,0.002647741937416678,-0.02097774860569111,-0.020941592246766828,-0.022136024574703907,-6.987896315234222e-05,-0.08189006797596932,-0.05689410432772965,-0.0054311970324441294,-0.0749287222787986,0.000727428624916628,-0.036315102133346905,-0.1625054857596796
VIM,-0.10856729592730295,-0.06474706349586143,-0.0004668786183185496,-0.1318180578312036,0.004646581114640834,-0.10009048572287062,0.0568133594099392,-0.03699626129747534,-0.038551318924224975,-0.0007007536910517435,0.0020395282135912242,0.1362189044563215,-0.03071910478463366,0.019512518049054857,-0.001308098866840014,0.01154149226002294,0.09847421857570474,0.007990006686872863,0.2479867233442004,-0.002974504916803863,-0.00242158381396154,0.02831458420922603
MT-ND2,-0.0012949286054082234,0.0002559416972009906,0.011708688394173938,0.08850798721589048,-0.0008849504344623236,0.022969672119178455,-0.030635492670290882,0.010018163046995583,0.006125110920167554,0.057014650676295235,-0.0031167936249108254,-0.0015037175178729354,0.016804697699480422,-0.0012296265682609057,0.0006135446192550567,0.022567810705288766,-0.014088005607858188,0.00040113152523137466,0.045793404169963005,0.0012695821661269553,0.04746651297337539,0.16975427181670627
PKM,0.01354818217017815,-0.007855715842586933,0.02345747971392337,0.03553674363318747,-0.0032540244777051696,0.07903642023180858,0.017246126317667178,0.006440211498106186,0.010922773748491174,0.05398946102156516,0.005785659182580264,-0.011071387241682292,0.01946043215564462,0.0045208382495185535,-0.0006795204380341131,0.0451498877499547,0.028305644690858976,0.006638108422849028,0.26811605822727347,-0.0025344763769620765,0.04671213149349675,0.4086009778706898
ENO1,-0.03281497585307159,-0.01111774602662439,0.035528530978233844,0.006445835262448251,5.6393120680754696e-05,-0.01685329617186295,-0.007359670680435207,-2.1744105826938765e-05,-0.007312194104881979,0.06964422702955052,0.003987216039318118,0.04663795372587885,0.016525984081513217,0.002908782615831742,-0.0015893707222439462,0.052006227625191005,0.027034222264031158,0.0006973978081684332,0.3408982539795903,0.0016282883668394122,0.05866083159164899,0.3186111144759336
RPL34,0.014919103909757838,0.037248419881719605,0.003165211044441826,0.00899675270583968,0.002062762390673237,-0.007645629800853428,-0.12386624145094012,-0.0005954419179302183,0.017146441047976857,-0.038392294711793604,0.0007573706307371618,-0.009390468803498465,-0.01645545472993861,-0.023607525979505502,0.0009789918464254816,-0.05224019797547881,-0.07661721192212617,-0.010345589575300561,-0.0728960005524865,0.0026482832756397233,-0.02538515344818299,-0.34238199235156763
RPS19,-0.021250997603189332,-0.0024998333309970804,0.017532148761102644,0.0486422449587536,-0.0029643199722393545,0.05350862976650353,-0.13584891897060572,0.015278864140356247,0.0043822460827176776,-0.03671537500517298,0.00108551665892886,-0.02934769987324535,-0.00364632144262742,-0.018858784827865054,0.0012059263768243404,-0.06945151948481199,-0.06580317870996884,-0.012633638913585436,0.10854256512210729,0.007695648609011435,-0.02431622986595717,0.003871442151703222
PFN1,0.04436912826639806,0.0009925584666521327,0.0009338041085231216,-0.0767001272382521,0.0001024012411086824,0.011601783190195544,0.11923520633328538,-0.007309678865276014,-0.000825755638686575,0.04427874195262398,0.008220771585269866,0.04208626609703925,0.0010134054929610272,0.019344753459051484,0.0006811840696266348,0.05624165583624614,0.0648652627298922,0.026806708523218075,-0.12794985179155713,-0.014696335912303278,0.033634304342656955,0.382041933844514
LDHA,-0.04107391564148887,-0.020059841896111163,0.032615433244112806,0.021344151959803548,0.0011084572359769357,-0.01536790072649966,-0.01290109451503946,-0.004265637996400683,-0.002003023953212445,0.07478111127439907,0.0009374082910178433,0.06008729793996322,0.011970370949628023,0.005773431097504605,0.0006133927672209093,0.053092555986568826,0.027437159039029137,0.0036236994974723066,0.3860822847861038,-0.0005633682445006876,0.06269198677583245,0.2834957562654611
