,ARID1A,BTLA,C10orf54,CBLB,CD3D,CD5,CDKN1B,DGKA,DGKZ,HAVCR2,LAG3,LCP2,MEF2D,NonTarget,PDCD1,RASA2,SOCS1,STAT6,TCEB2,TMEM222,TNFRSF9,offset
RPL10,0.015614953074659014,0.0002287531469253277,-0.0021103164112674716,0.02849724072315396,-0.007715262446239027,0.00034184014858448797,0.005177206110963163,-0.02962391026737448,-0.007244190857906436,0.0022861726145997135,-9.95087152694274e-05,-0.003600589604294213,0.0006146750474111792,0.003005275757265806,0.005112362599166708,-0.007431657211116736,-0.002837941927651204,-0.00010546120422944946,-0.09071252451395229,-0.0012584885630242417,9.206921509018838e-05,0.24540539077704548
VIM,-0.08293533067361455,-0.0005573473526920087,-0.0015093107641542193,0.009664940294376348,-0.003557200796633592,-0.00041731662941359453,0.01234002673337155,-0.010803408348524175,-0.00012185327767198946,-0.006371501562395555,-0.000930317731290336,-0.001418980207295519,0.006302485259530617,-0.01052159973495573,0.043629315354491584,0.00561847767376635,-0.002057139634465343,7.460655703770314e-05,0.17175241275872952,0.0007408178414398432,0.00034869453887509345,-0.04199472182185056
MT-ND2,0.009550738454242164,8.80174023791498e-05,3.470423851164222e-05,-0.005621199420875032,0.0016890790410291267,0.00020169776798635092,-0.009068157554522232,0.005603136972318654,0.0021632069358989707,0.0006927088250498414,0.00041108331454892854,0.0012429468157171548,-0.00020898462688101585,0.001540265786169275,-0.00893431521492365,-0.0001868245486030917,0.0007993306954521451,-7.313120182709634e-05,0.029020551761433866,-8.194195033285636e-05,-9.100181947850383e-05,-0.24605380356140596
PKM,-0.004565410505593354,-5.3764259954059284e-05,-0.0013686335615884985,0.004042204600606554,-0.001821970865751308,-0.000345143759649075,-0.01941160810916162,-0.00506364895028832,-0.0025968662991517,-0.0004780615034385222,0.0005987029484606211,6.766153181866127e-05,-0.005487328243563597,-0.0059287676736110954,0.006654078572416657,-0.002783700918248502,0.0008316694193593191,0.0005316580014378014,0.1664576352858107,0.00025202450548346633,0.0002447909013645967,-0.5887553860173613
ENO1,-0.006409310172963312,9.767698924108934e-05,-0.001431996237684282,0.003985423938672578,-0.0014323841034762812,0.0002779433999352753,-0.029201599707191557,-0.005133775533099485,-0.0012401643476708645,0.00012590146421858164,0.0007628040520150789,0.00025313387125763527,9.335955523329136e-06,-0.005439951096348421,0.003146727053658112,-0.002427123866366642,0.0003943285922632134,-9.343739818183883e-07,0.20710426506859694,3.824899925501927e-05,0.0002655487979658588,-0.465164077088109
RPL34,0.048723352356382345,0.00043634004310075215,0.002178763898193318,-0.0065259530950038044,0.0032185557317484584,0.0001927744256284957,0.01141059128612431,0.00831478160341083,-0.0024149602089695065,0.0037076927217202745,-0.0003829754836760625,0.0008099731010174463,0.003889567416675247,0.002768007291160815,-0.04303907189124778,0.022642284670639345,-0.0006824773781344543,-0.0005111500297474425,-0.05635245984703949,-0.0017373303134974633,-0.00014185429182803978,0.47901994560403527
RPS19,-0.010522038287861914,-0.0001224851973021575,0.0013202529920075662,-0.003373106535699897,0.001155315004525152,2.877466017313287e-05,-0.0004004057584406739,0.003830597025622958,0.012129841941481371,-0.0013323072526327943,0.00037138116634646563,0.0003642561372296695,-0.0037027216241443724,-0.0019073173945230836,-0.007100789992924494,0.006087021330998196,0.0004372596159344333,-1.4746710585204282e-05,0.11884081250184392,-0.0008147638648191101,-0.00022716531536921112,-0.0021125887858369635
PFN1,0.006984468764491535,7.549993947615575e-05,8.099992917910131e-05,-0.007988445786707902,0.0014460665988875595,0.00010417915096005761,0.00567814798173054,0.008213127787273488,0.0008498478471558225,0.0005288698558700379,-0.0004993553682092706,0.0006195370790539427,-0.001113673992668568,-0.005219833224352139,0.005051308553560277,0.00767865478283903,0.0007325400705635674,0.00012795722828472738,-0.08149149243933725,0.0003475157154707025,0.00012173508146903016,-0.5168682732427701
LDHA,-0.01927458878723338,2.1685717432690733e-05,-0.0017979805169664501,0.006601913311243737,-0.0020228622588504813,0.0007518872240084705,-0.02522185319782244,-0.007891863402492314,-0.0009511773789956335,-0.0006197316887692399,0.0005656378963860653,-8.125225325152183e-05,0.0013748863303909764,-0.004925457933487381,0.007662582314067625,0.00205831185931779,-0.00010970137845557192,-1.674805997725035e-05,0.2490582806826419,7.422083138662678e-05,0.00022022265517934966,-0.42366517356123756
NKG7,-0.11002569804960154,-0.0005741309704640008,0.0007516948337364664,-0.011894415012176945,0.0037806331186354385,-0.0002680966736248161,-0.01604935176538809,0.011058614184848053,0.029155391816251368,-0.0093536950385526,0.00034299369512974043,0.0012772163756860208,-0.0016656748304521834,-0.012271046171743322,0.03241147525113785,0.014536132009055253,0.0007921151283572163,0.0008918585959422996,0.05199721662184577,0.0018946152312922023,-3.2926618545916705e-05,-0.09813285446329731
